song_name,region,info,song_content
Abacılar İnişi Saatimin Gümüşü,İzmir,İzmir/Bergama-İsmail Aloğlu-Hüseyin Ayalp-Muzaffer Sarısözen,Abacılar İnişi Saatimi Gümüşü Hiç Aklımdan Çıkmıyor (Kaymak Mevlüde'm) Hakk'oğlanın Gülüşü Çaya Vardım Çayladım Çayda Balık Avladım Balık Değil Maksadım (Kaymak Mevlüde'm) Ben Yarimnen Oynadım Üç Kemerin Taşlan Civil Civil Kuşları Hiç Aklımdan Çıkmıyor (Kaymak Mevlüde'm) O Yarin Bakışları
Abalımın Cepkeni (Abalı Zeybeği),Aydın,Aydın-Nazmi İlyas-Ahmet Yamacı-Muzaffer Sarısözen,Abalımın Cepkeni Safi Sırma İlikli Abalımı Vuranlar On iki De Giritli Abalım Abalım Başı Aman Belâlım Abalım Abalım Gözleri  Elalım Yandım Da Efeler Yandım Abalı Da Zeybeğe Yandım Da Dostlar Yandım Abalı Da Zeybeğe Beşparmak Dağından Gece Ben Geçtim Anadan Babadan Yardan Vazgeçtim Abalım Abalım Başı Aman Belâlım Abalım Abalım Gözleri  Elalım Yandım Da Efeler Yandım Abalı Da Zeybeğe Yandım Da Dostlar Yandım Abalı Da Zeybeğe
Abdal Olsam Şallar Giysem Ağnime,Tokat,Tokat/Zile-Murtaza Kurt-Arif Meşhur,Abdal Olsam Şallar Giysem Ağnime Gezen Abdallara (Da Anam) Eş Deli Gönül Ta Ezelden Aşıkların Kalbine Değer İragipten (Anam) Taş Deli Gönül Bir Hüsnü Güzele (Anam) Meylimi Verdim Kalbimde İkrarımda (Anam) Dilimde Verdim Ben Dostu Gördükçe (Anam) Artıyor Derdim Aksın Gözlerimden (Anam) Yaş Deli Gönül (Yeldirme) (Ey Dost) Sen Özümü Erenlerden Ayırma Zamane Halkına Sırrın Duyurma Alem Sele Gitmis Yanıp Kayırma Sen Kendi Sevdana Coş Deli Gönül
Abur Cubur Adam,,Aşık Mahzuni Şerif,İçi Yalan Dışı Yalan Her Bakışı Binbir Plan Gül Boyanmış Kara Yılan Abur Cubur Abdullah  Etme Dedim Tutma Dedim  Dostluğu Unutma Dedim  Sana Verdiğim Lokmayı  Çabuk Biter Yutma Dedim  Abur Cubur Adam  Ben Seni Nidem  Daha Kendini Bilmezsin  Kimdir Yanındaki Madam Bir Elinde Kamerası Sanırsın Film Ağası Her Dolapta Numarası Abur Cubur Abdullah  Etme Dedim Tutma Dedim  Dostluğu Unutma Dedim  Sana Verdiğim Lokmayı  Çabuk Biter Yutma Dedim  Abur Cubur Adam  Ben Seni Nidem  Daha Kendini Bilmezsin  Kimdir Yanındaki Madam Der Mahzuni Tövbe Olsun Böyle Dost Düşmana Kalsın Şeytanlar Namazın Kılsın Abur Cubur Abdullah  Etme Dedim Tutma Dedim  Dostluğu Unutma Dedim  Sana Verdiğim Lokmayı  Çabuk Biter Yutma Dedim  Abur Cubur Adam  Ben Seni Nidem  Daha Kendini Bilmezsin  Kimdir Yanındaki Madam
Acem Kızı,Kırşehir,Kırşehir-Çekiç Ali-Osman Özdenkçi,"Çırpınıp Da Şan Ovaya Çıkınca Eğlen Şan Ovada Gal Acem Gızı. Uğrun Uğrun Gaş Altından Bakınca Can Telef Ediyor Gül Acem Gızı. Seni Seven Oğlan Neylesin Malı, Yumdukça Gözünden Döker Mercanı. Burun Fındık Ağzı Gahve Fincanı, Şeker Mi, Şerbet Mi Bal Acem Gızı."
Acem Ülkesinde Eyleşdim Galdım,Erzurum,Erzurum-Muharrem Akkuş-Arif Sağ-Yücel Paşmakçı,Acem Ülkesinde (Uy Amman Amman Yar Amman Amman) Eyleşdim Galdım Sene Gurban    Gel Gel Hele Hele Gel  Gel Gel Yavaş Gel  Aman Allah Ölürem Gel  Aman Allah Yanaram Gel Acem Ülkesinde (Uy Amman Amman Yar Amman Amman) Bir Güzel Gördüm Sene Gurban  Gel Gel Hele Hele Gel  Gel Gel Yavaş Gel  Aman Allah Ölürem Gel  Aman Allah Yanaram Gel
Acep Bir Karuban Hane Bu Dünya,Erzurum,Erzurum-Abdurrahman Demir-Mehmet Çalmaşır,Acep Bir Karuban Hane Bu Dünya Gelen Gider Konan Göçer Bu Elden Vefası Yok Sefası Yok Fani Hülya Gelen Gider Konan Göçer Bu Elden Civanları Cefa İle Eder Pir Ne Gedeler Güler Bunda Ne Emir Misafir Hanedir Ol Pak-I Zemir Gelen Gider Konan Göçer Bu Elden Görülmemis Vefasızın Vefası Bu Dar-I Mihnetin Yoktur Sefası Ecel Serbetinin Olmaz Sifası Gelen Gider Konan Göçer Bu Elden Aman Lütfi Gibi Gafil Bulunma Ölümdür Akibet Ferah Salınma Sonunda Sen De Ölürsün Alınma Gelen Gider Konan Göçer Bu Elden
Acı Biberim Acı,Balıkesir,Balıkesir/Bandırma-Kemal Karasüleymanoğlu-Ahmet Yamacı,Acı Biberim Acı Ocağa Koydum Sacı Simdi Ki Kızlar Kaçıyor (Bandırma'lı Güzelim) Nedir Bunun İlacı El Edersem Eve Gel Göz Edersem Cama Gel Hiç Birseyler Bilmezsen (Bandırma'lı Güzelim) Al Testiyi Suya Gel Penceresi Tül Perde Perdenin Ucu Yerde Yürek Oynar Can Titrer (Bandırma'lı Güzelim) Seni Gördüğüm Yerde
Acı Ölüm,,Sıddık Doğan,Acı Ölüm Genç Ölüm Bu Nasıl Gitmek Gülüm Kara Haber Tez Geldi Kırdın Kanadım Kolum Giden Yolunan Gitti Esen Yelinen Gitti Feryadı Bizde Kaldı Solan Gülünen Gitti Yollarda Kaldı Gözüm Eridi Aktı Özüm Kaybettim Yavrumu Ondan Ağlıyor Sazım Giden Yolunan Gitti Esen Yelinen Gitti Feryadı Bizde Kaldı Solan Gülünen Gitti
Acılar İçimde Kaldı,,Lütfü Gültekin,Acılar İçimde Kaldı Maziye Baktım Ağladım Ömür Bir Akşam Güneşi Battıkça Baktım Ağladım  Tutuştu Gönül Çerağım  Bozuldu Virane Bağım  Kapandı Yolum Yolanım Derdimi Getirmem Dile Bitmez Ki Çektiğim Çile Feryadım Yolcu Benimle Dağlara Çıktım Ağladım  Tutuştu Gönül Çerağım  Bozuldu Virane Bağım  Kapandı Yolum Yolanım
Acılarım Hiç Dinmiyor (Şu Gönlümün Sultanı Olsan),,Gülşen Koçer-Kenan Çallı,Acılarım Hiç Dinmiyor Kimse Derdimi Bilmiyor Şu Yüreğim Yangın Yeri Her Gün İçimde Büyüyor   Şu Gönlümün Sultanı Olsan   Sevda Olup Yüreğime Dolsan   Canımı Verirdim Sana   Rüya Değil Gerçek Olsan Yanarım Aşkın Oduyla Kayboldum Yarin Yolunda Düştüm Sevdanın Derdine Şimdi Kimler Var Kolunda   Şu Gönlümün Sultanı Olsan   Sevda Olup Yüreğime Dolsan   Canımı Verirdim Sana   Rüya Değil Gerçek Olsan
Ada Yolu Kestane,Bolu,Bolu-Emin Barın-Muzaffer Sarısözen,Ada Yolu Kestane Amanın Dökülür Dane Dane Amanın Dökülür Dane Dane Kızlar Yola Dizilmiş Amanın Alalım Birer Dane Ada Yolu Yamandır Amanın Da Yolları Yamandır Bolu Dağı Dumandır Amanın Bolu Dağı Dumandır Dostlar Vurun Sazlara Amanın Eylenecek Zamndır Ada Yolu Düz Gider Amanın Ada Yollu Düz Gider Bir Edalı Kız Gider Amanın Bir Edalı Kız Gider O Kız Yolu Şaşırmış Amanın İnşallah Bize Gider
Adaköy Deresi Taşmış Geliyor,Giresun,Giresun-Ahmet Başaran-Ümit Bekizağa,Adaköy Deresi Taşmış Geliyor Emine'm Gırandan Aşmış Geliyor Sallanı Sallanı Bir Hos Geliyor  Emine'm Emine'm Yaylalar Guşu  Ne Yapalım Emine'm Mevlanın İşi  Emine'm Emine'm Aslan Emine'm  Gel Otur Dizime Yaslan Emine'm Apdalın Üstünde Üç Gele Gezdim Dayım Ali Beyden Hileler Sezdim Alın Emine'yi Canımdan Bezdim  Emine'm Emine'm Yaylalar Guşu  Ne Yapalım Emine'm Mevlanın İşi  Emine'm Emine'm Aslan Emine'm  Gel Otur Dizime Yaslan Emine'm
Adalardan Çıktım Yayan,Erzurum,Erzurum/Pasinler-Cafer Kırmızı-Muzaffer Sarısözen,Adalardan Çıktım Yayan Gardas Atlı Bacı Yayan Di Gel Bu Dertlere Dayan  Nenni Nenni Nenni Nenni  Nenni Nenni Nenni Bebek Ey Bebeğin Beşiği Çamdan Yuvarlandı Düştü Damdan Bey Babası Gelir Van'dan  Nenni Nenni Nenni Nenni  Nenni Nenni Nenni Bebek Ey Bebeğin Beşiği Bakır Yerinden Kalkmıyor Ağır Ben Sallarım Takır Takır  Nenni Nenni Nenni Nenni  Nenni Nenni Nenni Bebek Ey
Adaletin Bu Mu Dünya,,Ali Ercan,Güvenemem Servetime Malıma Ümidim Yok Bugün İle Yarına Toprak Beni De Basacak Bağrına  Adaletin Bu Mu Dünya  Ne Yar Verdin Ne Mal Dünya  Kötülerinsin Sen Dünya  İyileri Öldüren Dünya Ne İnsanlar Gelip Geçti Kapından Memnun Gelip Giden Var Mı Yolundan Kimi Fakir Kim Ayrılmış Yarinden  Adaletin Bu Mu Dünya  Ne Yar Verdin Ne Mal Dünya  Kötülerinsin Sen Dünya  İyileri Öldüren Dünya Kimi Mecnun Gibi Dağda Dolaşır Kimisi De Ölüm Yok Gibi Çalışır Kimi Meteliksiz Kimi Milyona Karışır  Adaletin Bu Mu Dünya  Ne Yar Verdin Ne Mal Dünya  Kötülerinsin Sen Dünya  İyileri Öldüren Dünya
Adam Ağladan Oldum,Erzincan,Erzincan/Kemaliye(Eğin)-Mustafa Özgül-Mustafa Özgül,Adam Ağladan Oldum Ciğer Dağladan Oldum Evvel Baş Bağlar İdim Şimdi Bağladan Oldum  Duran Ağbey Duran Ağbey  Evine Gelin Olam  Duran Ağbey Duran Ağbey  Gulun Gurbanın Olam Dağlara Ekim Ekin Gaybettim Elimdekin Ne Dostum Ne Düşmanım Olmasın Benim Tekim  Duran Ağbey Duran Ağbey  Evine Gelin Olam  Duran Ağbey Duran Ağbey  Gulun Gurbanın Olam Zülüf Sıra Yüz Örtmez Sevda Serimden Gitmez Senin Bana Ettiğin Gavur İslama Etmez  Duran Ağbey Duran Ağbey  Evine Gelin Olam  Duran Ağbey Duran Ağbey  Gulun Gurbanın Olam
Adana Köprü Başı,Adana,Adana-Selahattin Sarıkaya-Halil Atılgan,Adana Köprü Başı Otur Saraya Karşı Gel Beraber Gezelim Dosta Düsmana Karşı  Vur Çapayı Çapayı  Vur Kazmayı Kazmayı  Kız Basına Bağlamıs  Oyalı Da İpek Yazmayı Pamuk İçinde Çiğit Elinde Altın Divit Hem Sararmıs Hem Solmuş Bir Kız İçin Bir Yiğit  Vur Çapayı Çapayı  Vur Kazmayı Kazmayı  Kız Basına Bağlamıs  Oyalı Da İpek Yazmayı
Adana’nın Yolları Taşlık,Çukurova,Çukurova-Yöre Ekibi-Muzaffer Sarısözen,"Adana’nın Yolları Taşlık, Yok Cebimizde Beş Para Harçlık. Elden Gitti Kahpe De Gençlik. Agam Adana'lı Pasam Adana'lı, Evde Duramıyom Sana Dadanalı. Sebebim Sen Oldun Şişman Delikanlı. Hey Güllü Hele Hele Güllü, Kız Güllü Hele Hele Güllü, Peştemalı Püsküllü, Peştemalı Sümbüllü. Ağam Adana'lı Paşam Adana'lı, Evde Duramıyom Sana Dadanalı. Adana'nın Bayırına, Ağam At Güverdim Çayırına, Anam Babam Hayırına. Ağam Adana'lı Paşam Adana'lı, Evde Duramıyom Sana Dadanalı. Sebebim Sen Oldun Şişman Delikanlı. Hey Güllü Hele Hele Güllü, Kız Güllü Hele Hele Güllü, Peştemalı Püsküllü, Peştemalı Sümbüllü. Ağam Adana'lı Paşam Adana'lı, Evde Duramıyom Sana Dadanalı. Adana'nın Yolları Taştan, Sen Çıkardın Beni Baştan, Hem Anadan Hem Kardaştan. Ağam Adana'lı Paşam Adana'lı, Evde Duramıyom Sana Dadanalı. Sebebim Sen Oldun Şişman Delikanlı. Hey Güllü Hele Hele Güllü, Kız Güllü Hele Hele Güllü, Peştemalı Püsküllü, Peştemalı Sümbüllü. Ağam Adana'lı Paşam Adana'lı, Evde Duramıyom Sana Dadanalı."
Adatepe,Malatya,Malatya-Sıddık Doğan-Mehmet Özbek,Adatepe Adatepe Yağmur Yağar Sere Serpe Asiye'yi Sele Verdik Daha Yavruları Körpe  Asiye'yi Sele Verdik  Yavruları Kaldı Körpe Bu Vali De Ağır Vali Gumandanı Çağır Vali Gelinleri Su Götürmüş Askerleri Goyur Vali  Gelinleri Su Götürmüş  Askerleri Goyur Vali
Adem Gardaş Dedim Geldim Yanına,Muğla,Muğla-Mursal Ünsal-Durmuş Yazıcıoğlu,Adem Gardaş Dedim Geldim Yanına Nasıl Kıydın Benim Tatlı Canıma Hısımlar Komaz Bunu Da Yanına Doyamadım Sana Nazlı Naime'm  Annem Annem Annem Beni Vuran Adem  Doyamadım Sana Nazlı Naime'm Yüksekten Götürün Benim De Salımı Düşmanlarım Görmesin Akan Kanımı Anneme Söylemeyin Garip Halimi Doyamadım Sana Nazlı Naime'm  Annem Annem Annem Beni Vuran Adem  Doyamadım Sana Nazlı Naime'm Annem Yoktur Benim Suyumu Da Verecek Babam Yoktur Benim Salıma Girecek Gardaşlarım Yoktur Ahtımı Alacak Adem Yaptıkların Yanına Mı Kalacak  Annem Annem Annem Beni Vuran Adem  Doyamadım Sana Nazlı Naime'm Anneme Söyleyin Lambalar Yakmasın Güvey Elbiselerimi Askıya Asmasın Oğlum Gelecek Diye Yollara Bakmasın Doyamadım Sana Nazlı Naime'm  Annem Annem Annem Beni Vuran Adem  Doyamadım Sana Nazlı Naime'm
Adil Efendi (U.H.),Diyarbakır,Diyarbakır-Celal Güzelses-TRT,Dedim Adil Efendi Gel Kıyma Bana Dedi İnsaf Ettim Geldim İmana Dedim Bir Busecik Kerem Et Bana Dedi Kamaştırır Gözlerin Yavaş Dedim Adülere Niçin Uyarsın Dedi Bu Haberleri Kimden Duyarsın Zalım Didelerin Kana Boyarsın Dedi Aşık Olan Döker Kanlı Yaş Karlı Dağlar Kalmayınca Aradan Haber Aldım O Kaşları Karadan Ver Muradım Yeri Göğü Yaradan Koyma Beni Bu Hasrete Öleyim Gah Sefa Buldu Gönlüm Ahinesi Gahi Keder Ali Alem Böyledir Böyle Gelir Böyle Gider
Adile'min Üç Boncuklu Hasırı,Antalya,Antalya/Elmalı-Nimet Terzioğlu-Erdal İyiöz-Ateş Köyoğlu,Adile'min Üç Boncuklu Hasırı Adile'm Olmuş Düşmanların Yesiri Hiç Yok Mudur Abeysinin Hatırı  Gül Mü Sandım Gül Adile'm Solacak  Sen Ölürsen Gara (Gara) Yerler Dolacak Adile'min Saçına (Da) Altın Takmalı Takıp Takıp Cemaline Bakmalı Adile'mle Bir Odada Yatmalı  Gül Mü Sandım Gül Adile'm Solacak  Sen Ölürsen Gara (Gara) Yerler Dolacak
Adım Adım Hak Yoluna Varayım,,-Bektaş Bahtiyar-Cihangir Terzi,(1. Semaha Çağrı) Bir Ana Bacıynan Da Hü Bir Müslüm Bacı Kalksın Semah Eylesin İstekli Canlarım Canan Semah Eylesinler De Hü Niyaz Eylesin Kaldır İndir Kollarını Kollarını (2. Doğruca Bölümü) Adım Adım Hak Yoluna Varayım Şahımın Olduğu Yeri Gördün Mü Birdir Derler Cümlemizin Anası Birden Solmaz Ellerinin Kınası Şen Olsun Bizlerin Sohbet Hanesi  Güvercinlik Derler Şara Vardın Mı  Şahımın Olduğu Yeri Gördün Mü Ulu Bezirgan'ı Gelip Geçtin Mi Hamza Pehlivanla Güreş Tuttun Mu Türlü Kumaşları Alıp Sattın Mı  Güvercinlik Derler Şara Vardın Mı  Şahımın Olduğu Yeri Gördün Mü Pir Sultan'ım İncitmeyin Deliyi Üstümüzden Eksik Etme Doluyu Horasan'da Buldum Derler Yurdu Sılayı  Güvercinlik Derler Şara Vardın Mı  Şahımın Olduğu Yeri Gördün Mü (3. Karşılama Bölümü) Çıktım Seyreyledim Ben Şu Alemi Bana Da Bir Kanlı Zalimden Oldu Kendi Dilim İle Buldum Belayı Sabır Edemedim Dilimden Oldu Güzeller Karsıya Yayını Yaymıs Herkes Sevdiğini Gönülden Sevmis Erenlerin Sözü Yolsuzu Kesmis Yolsuz Ağlar Bana Yolumdan Oldu (Ağlar Yolsuz Bana Yolumdan Oldu) Pir Sultan'ım Sen Kuluna Ne Ettin Şah Sultan'ım Sen Kuluna Ne Ettin Herkes Ne Ettiyse Kendini Etti Evrildi Çevrildi Turnalar Öttü Turnam Ağlar Bana Tenimden Oldu (Ağlar Turnam Bana Tenimden Oldu) (4. Halka Bölümü) Açıldı Cennet Kapısı Taze Gevherdir Yapısı Kıldan İncedir Köprüsü Geçebilirsen Gel Beru Ben Bahçelerin Gülüyüm Aynı Bağın Bülbülüyüm Kırk Kapının Kilidiyim Açabilirsen Gel Beru Pir Sultan'ım Doldum İman Şah Sultan'ım Doldum İman Dağları Bürüdü Duman İşte İncil İşte Kur'an Okuyabilirsen Gel Beru
Adını Sevdiğim Avşar Beyleri,Burdur-Denizli,Burdur-Denizli-Yöre Ekibi-TRT,Adını Sevdiğim Avşar Beyleri Size Bir Vezirlik Yakışıp Durur Topla Dizginini De Tanı (Aman Of) Kendini Garşımda Düsmanlar Bakışıp Durur (Efendim) Gar Mı Da Yağmış Şu Avşar’ın (Aman Of) Düzüne Sızılar Mı Girmiş Gır Atımın (Of Of) Dizine (Efendim) Selam Söylen (Aman Of) Şu Avşar'ın Kızına Kendi Gülüp Bizi Ağladıp Durmasın  (Aman Durmasın Efendim)
Adını Söylesem Dilim Takılır,,İhsan Güvercin,Adını Söylesem Dilim Takılır Sanki Yüreğime Bir Şey Çakılır Orda Semah Dönen Nara Yakılır Kızılırmak Boylarında Bir Şehir Güvercinler Gide Baykuşlar Öte Ne Kışın Azala Ne Çilen Bite Hafik’ten Bu Yana Banaz’dan Öte Kızılırmak Boylarında Bir Şehir Can Alıcı Kuşlar Oraya Doldu Güneş Utancından Sararıp Soldu Otuz Yedi Gülü Dalından Yoldu Kızılırmak Boylarında Bir Şehir Güvercinler Gide Baykuşlar Öte Ne Kışın Azala Ne Çilen Bite Hafik’ten Bu Yana Banaz’dan Öte Kızılırmak Boylarında Bir Şehir
Adıyaman Yolu Yaman,,Yaşar Aydın,Adıyaman Yolu Yaman  Vay Vay Yavrucağım  Aman Aman Yavrucağım  Dön Gel Dayanamam  Sesimi Duy Ver Elini  Kalk Gidek Dağlara  Tütün Kokan Ovalara  Dön Gel Dayanamam  Adıyaman Yolu Duman  Vay Vay Yavrucağım  Tay Tay Yavrucağım  Dön Gel Dayanamam  Gözlerin Nereye Bakar  Gör Gör Yavrucağım  Sana Neler Alacağım  Dön Gel Dayanamam
Afiyon'un Ortasında Galesi Var,Afyon,Afyon-Abdullah Uluçelik-Muzaffer Sarısözen,Afiyon'un (Aman Aman) Ortasında Galesi (De Var Galesi Aman) Üzerinde (Aman) Vardır Gızlar Gulesi (De Var Gulesi) Zümrüt Gibi (Aman Aman) Yeşillenmiş Ovası (Da Var Ovası Aman)  Ay Karanlık Aman Gece Vurdular Beni De Vay Beni  Yarin Yazmasına Sardılar Beni De Ah Beni Galecikten (Aman Aman) Ayva Gelir Gar Gelir De (Vay Gar Gelir Aman) Gümüş Yüzük (Aman) Parmağına Yarin Dar Gelir (De Dar Gelir) Bende Sandım (Aman Aman) Meyhaneden Efem Yar Gelir (De Vay Yar Gelir Aman)  Ay Karanlık (Aman) Göremedim (Aman) Yolumu (Da Vay Yolumu)  (Ah) Bilemedim Aman Cerrah Kesti Benim Golumu Da Vay Golumu
Ah Bir Ateş Ver,İzmir,İzmir-Çetin Bozalan-Durmuş Yazıcıoğlu,"Ah, Bir Ateş Ver, Cıgaramı Yakayım Sen Sallan Gel, Ben Boyuna Bakayım  Uzun Olur Gemilerin Direği  Çatal Olur Efelerin Yüreği Ah, Vur Ataşı Gavur, Sinem Ko Yansın Arkadaşlar Uykulardan Uyansın  Uzun Olur Gemilerin Direği  Çatal Olur Efelerin Yüreği"
